content_title,attributes
Asterix Et La Surprise De Cesar,"{""Genres"":[""action-adventure"",""comedy"",""fantasy"",""animation""],""Source Material"":[""adaptation""],""Geography"":[""France"",""North Africa"",""Rome""],""Gender"":[""male""],""Disciplines & Industries"":[""sports"",""armed forces""],""Story Elements"":[""showdown"",""kidnapping"",""voyage and return"",""unrequited love"",""holy grail""],""Setting Types"":[""desert"",""urban"",""rural""],""Scopes and Scales"":[""normal""],""Agents"":[""athlete"",""warrior"",""soldier"",""guard"",""general"",""dog"",""enslaved person"",""pet"",""lover"",""military officer"",""captive""],""Moods"":[""confrontational"",""funny""],""Time Era"":[""ancient civilizations (ca. 3300 BCE-476 CE)""],""Age Groups"":[""adult (19-59)""]}"
Saturdays,"{""Source Material"":[""original idea""],""Disciplines & Industries"":[""sports""],""Story Elements"":[""familial relationship"",""competition"",""coming of age"",""friendship""],""Geography"":[""Chicago""],""Age Groups"":[""teen (14-18)""],""Setting Types"":[""urban"",""suburban""],""Time Era"":[""contemporary (2000-)""],""Genres"":[""comedy"",""coming of age"",""family""],""Moods"":[""wild"",""uplifting"",""funny""],""Scopes and Scales"":[""normal""],""Term Status"":[],""Agents"":[""team"",""parent"",""DJ"",""baker"",""family"",""daughter"",""business owner"",""brother"",""athlete""],""Gender"":[""female""]}"
Daensing Kwin,"{""Story Elements"":[""married life"",""political issue"",""secret identity"",""living it up"",""following a dream""],""Agents"":[""mayor"",""singer"",""father"",""contestant"",""lawyer"",""talent agent"",""daughter"",""hairdresser"",""musical ensemble"",""dancer"",""spouse"",""mother""],""Genres"":[""comedy"",""drama""],""Gender"":[""female"",""male""],""Source Material"":[""original idea""],""Setting Types"":[""suburban"",""urban""],""Moods"":[""whimsical"",""uplifting"",""funny""],""Term Status"":[],""Age Groups"":[""adult (19-59)""],""Subjects"":[""marriage"",""arts and entertainment"",""politics""],""Geography"":[""Seoul""],""Time Era"":[""1980-1989""],""Disciplines & Industries"":[""music"",""law practice""],""Scopes and Scales"":[""normal""]}"
"50 Greatest, The","{""Time Era"":[""contemporary (2000-)"",""1990-1999"",""1980-1989""],""Source Material"":[""real life""],""Agents"":[""athlete"",""entertainer""],""Disciplines & Industries"":[""sports""],""Moods"":[""wondrous"",""matter-of-fact"",""wild""],""Scopes and Scales"":[""normal""],""Subjects"":[""arts and entertainment"",""sports""],""Genres"":[""docuseries"",""sports""],""Term Status"":[]}"
"Office, The (UK Format)","{""Term Status"":[],""Agents"":[""office worker"",""manager"",""corporation"",""assistant""],""Geography"":[""England""],""Setting Types"":[""town""],""Story Elements"":[""workplace issue"",""love story"",""job dissatisfaction"",""friendship""],""Genres"":[""comedy""],""Creative Elements"":[""mockumentary""],""Time Era"":[""2000-2009""],""Moods"":[""uneasy"",""funny""],""Source Material"":[""original idea""]}"
Steal-A-Rooney,"{""Subjects"":[""family"",""arts and entertainment""],""Setting Types"":[""suburban"",""high school""],""Disciplines & Industries"":[""sports"",""theater""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""],""Age Groups"":[""teen (14-18)""],""Gender"":[""female""],""Agents"":[""family"",""lover"",""actor"",""sibling"",""sister"",""basketball player""]}"
Gorongosa: Paradise Reborn,"{""Genres"":[""documentary"",""animals & nature""],""Geography"":[""Africa""],""Disciplines & Industries"":[""medical research, science and technology""],""Moods"":[""matter-of-fact""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""scientist"",""wild animal"",""animal"",""elephant""],""Subjects"":[""environment""],""Setting Types"":[""wilderness""],""Scopes and Scales"":[""normal""]}"
Marked for Death,"{""Gender"":[""male""],""Time Era"":[""1990-1999""],""Genres"":[""police/cop"",""action-adventure""],""Agents"":[""warrior"",""gang"",""criminal"",""veteran"",""detective"",""police""],""Story Elements"":[""showdown""],""Setting Types"":[""urban""],""Geography"":[""Chicago"",""Jamaica""],""Scopes and Scales"":[""normal""],""Age Groups"":[""adult (19-59)""],""Term Status"":[],""Subjects"":[""true crime""],""Moods"":[""confrontational"",""wild""],""Source Material"":[""original idea""],""Portrayals of Character"":[""Leslie (none)"",""Carmen (none)"",""Jimmy Fingers (none)"",""Paco (none)"",""Freddy (none)"",""Melissa (none)"",""Sheriff O'Dwyer (none)"",""Charles (Wright, Tom)"",""Monkey (none)"",""Chico (none)"",""Nesta (none)"",""Marta (none)"",""Nicky (none)"",""Kate Hatcher (none)"",""Dr. Stein (Boen, Earl)"",""Little Richard (Cervantes, Carlos)"",""Tracey (none)"",""Raoul (none)"",""Tito Barco (none)"",""Hector (Trejo, Danny)"",""Lt. Sal Roselli (Dunn, Kevin)"",""Nago (none)"",""Pete Stone (none)"",""John Hatcher (none)"",""Duvall (none)"",""Tommy (none)"",""Jimmy Cliff (Cliff, Jimmy)"",""Screwface (none)"",""Max (David, Keith)""],""Disciplines & Industries"":[""organized crime"",""recreational drugs"",""public safety""]}"
Mouse vs. Machine/ Grandpa Beagle's Day Out,"{""Subjects"":[""sports""],""Scopes and Scales"":[""normal""],""Time Era"":[""contemporary (2000-)""],""Portrayals of Character"":[""Garrett (Baker, Dee Bradley)"",""Hudson (Bennett, Jeff)"",""Mickey Mouse (Iwan, Bret)"",""Mr. Bigby (Farmer, Bill)"",""Ludwig Von Drake (Burton, Corey)"",""Donald Duck (Ross, Daniel)"",""Grandpappy Beagle (Elizondo, Hector)"",""Billy Beagle (Leno, Jay)"",""Cuckoo Loca (Futterman, Nika)"",""Goofy (Farmer, Bill)"",""Garth (Farmer, Bill)"",""Minnie Mouse (Taylor, Russi)"",""Daisy Duck (MacNeille, Tress)""],""Disciplines & Industries"":[""transportation"",""sports""],""Setting Types"":[""rural"",""town""],""Age Groups"":[""indeterminate""],""Inactive Agents"":[""animal"",""racecar driver"",""group""],""Gender"":[""female"",""male""],""Agents"":[""dog"",""mechanic"",""bird"",""mouse"",""broadcaster""]}"
Love in the Forecast,"{""Setting Types"":[""urban"",""rural""],""Moods"":[""funny"",""romantic"",""uplifting""],""Time Era"":[""contemporary (2000-)""],""Gender"":[""female""],""Geography"":[""Arkansas""],""Agents"":[""scientist"",""neighbor"",""broadcaster"",""farmer""],""Age Groups"":[""adult (19-59)""],""Story Elements"":[""following a dream"",""job dissatisfaction"",""friends-to-lovers""],""Disciplines & Industries"":[""medical research, science and technology"",""farming, fishing, and forestry"",""film and television""],""Genres"":[""comedy"",""romance"",""romantic comedy""],""Source Material"":[""original idea""],""Scopes and Scales"":[""normal""]}"
Om Det Oandliga,"{""Genres"":[""anthology"",""drama""],""Moods"":[""contemplative"",""dramatic""],""Setting Types"":[""urban""],""Creative Elements"":[""experimental"",""interlocking narrative"",""voice-over narrator""],""Source Material"":[""original idea""],""Story Elements"":[""search for meaning""],""Term Status"":[]}"
Just Getting Started,"{""Moods"":[""confrontational"",""funny"",""outrageous""],""Age Groups"":[""older adult""],""Term Status"":[],""Time Era"":[""2010-2019""],""Genres"":[""comedy"",""crime"",""action-adventure""],""Agents"":[""manager"",""assassin"",""gambler"",""FBI agent"",""supervisor"",""son"",""retiree"",""criminal"",""lawyer"",""mother"",""lover""],""Setting Types"":[""rural"",""desert""],""Holidays & Seasons"":[""Christmas""],""Gender"":[""male""],""Geography"":[""Palm Springs""],""Story Elements"":[""revenge"",""aging"",""showdown"",""unlikely allies"",""love triangle""],""Source Material"":[""original idea""]}"
"Jewel of the Nile, The","{""Story Elements"":[""kidnapping"",""love story"",""unlikely allies"",""holy grail""],""Moods"":[""romantic"",""wild"",""funny""],""Source Material"":[""sequel""],""Setting Types"":[""town"",""desert""],""Genres"":[""comedy"",""romance"",""action-adventure""],""Term Status"":[],""Gender"":[""female"",""male""],""Portrayals of Character"":[""Barak (none)"",""Gloria (Taylor, Holland)"",""Joan Wilder (Turner, Kathleen)"",""Jack Colton (Douglas, Michael)"",""Karak (none)"",""Omar (none)"",""Arak (none)"",""Tarak (none)"",""Rachid (none)"",""Le Vasseur (none)"",""Jewel (none)"",""Sarak (none)"",""Ralph (DeVito, Danny)""],""Agents"":[""soldier"",""prisoner"",""writer"",""religious figure"",""couple"",""ruler"",""criminal""],""Time Era"":[""1980-1989""],""Age Groups"":[""adult (19-59)""],""Scopes and Scales"":[""grand""]}"
Thomas Gribalski Affair,"{""Gender"":[""female"",""male""],""Subjects"":[""family""],""Setting Types"":[""middle school"",""suburban""],""Scopes and Scales"":[""normal""],""Agents"":[""legislator"",""parent"",""lawyer"",""student"",""family"",""neighbor"",""sibling""],""Age Groups"":[""teen (14-18)"",""tween (11-13)""],""Time Era"":[""contemporary (2000-)""]}"
Mrs. Wilson,"{""Story Elements"":[""bereavement"",""deception"",""personal investigation"",""married life"",""hidden past""],""Scopes and Scales"":[""normal""],""Moods"":[""confrontational"",""dramatic"",""suspenseful""],""Genres"":[""biographical"",""drama""],""Subjects"":[""marriage""],""Agents"":[""veteran"",""son"",""widowed person"",""writer"",""mother"",""ex-partner"",""spouse"",""spy"",""bureaucrat""],""Geography"":[""London""],""Source Material"":[""adaptation"",""true story""],""Setting Types"":[""urban""],""Age Groups"":[""adult (19-59)""],""Gender"":[""female""],""Time Era"":[""1970-1979"",""1960-1969"",""1939-1945 (World War II)""]}"
I Deal in Danger,"{""Geography"":[""Berlin""],""Genres"":[""thriller"",""action-adventure"",""spy/espionage""],""Source Material"":[""alternate edit"",""original idea""],""Age Groups"":[""adult (19-59)""],""Disciplines & Industries"":[""intelligence services""],""Moods"":[""suspenseful"",""confrontational""],""Gender"":[""male""],""Story Elements"":[""heroic mission"",""covert operation"",""deception for survival"",""hostile interaction"",""war experience""],""Agents"":[""scientist"",""lover"",""broadcaster"",""federal agent"",""soldier"",""military officer"",""spy""],""Term Status"":[],""Setting Types"":[""urban""],""Time Era"":[""1939-1945 (World War II)""]}"
Lullaby Land,"{""Gender"":[""male""],""Age Groups"":[""baby/infant (0-2)""],""Agents"":[""magician"",""dog"",""infant"",""toy"",""mother""],""Scopes and Scales"":[""grand""],""Inactive Agents"":[""magician""],""Genres"":[""animation"",""fantasy"",""family"",""musical""]}"
Hoshi No Samidare,"{""Agents"":[""monster"",""servant"",""reptile"",""princess"",""knight"",""fantasy being"",""warrior"",""object"",""animal"",""neighbor"",""magician""],""Genres"":[""anime"",""animation"",""action-adventure"",""fantasy""],""Term Status"":[],""Moods"":[""whimsical"",""dramatic"",""confrontational""],""Gender"":[""male""],""Story Elements"":[""friendship"",""saving the world"",""coming of age"",""fish-out-of-water"",""showdown""],""Geography"":[""Japan""],""Age Groups"":[""young adult (19-25)""],""Setting Types"":[""urban""],""Source Material"":[""adaptation""]}"
"Dog Knight, The","{""Agents"":[""cat"",""assistant"",""guard"",""religious figure"",""dog"",""mouse"",""royalty"",""warrior"",""ex-partner""],""Source Material"":[""remake"",""adaptation""],""Moods"":[""confrontational"",""funny""],""Setting Types"":[""urban"",""kingdom""],""Geography"":[""Paris""],""Story Elements"":[""heroic mission"",""palace intrigue"",""innocent person""],""Age Groups"":[""young adult (19-25)""],""Genres"":[""comedy"",""animation"",""action-adventure""],""Term Status"":[],""Time Era"":[""1600-1699 (17th century)""],""Gender"":[""male""]}"
La La Land,"{""Agents"":[""musician"",""actor"",""roommate"",""sister"",""pianist"",""couple""],""Moods"":[""dramatic"",""whimsical"",""romantic""],""Setting Types"":[""urban""],""Time Era"":[""contemporary (2000-)""],""Genres"":[""drama"",""romance"",""music"",""musical"",""comedy""],""Age Groups"":[""adult (19-59)""],""Source Material"":[""original idea""],""Gender"":[""female"",""male""],""Disciplines & Industries"":[""film and television"",""music""],""Geography"":[""Los Angeles""],""Term Status"":[],""Story Elements"":[""following a dream"",""we'll always have Paris"",""new love"",""work-life imbalance"",""lovers' quarrel""],""Subjects"":[""arts and entertainment""],""Scopes and Scales"":[""normal""]}"
"Sing, Baby, Sing","{""Moods"":[""wild"",""whimsical""],""Age Groups"":[""adult (19-59)""],""Gender"":[""female""],""Source Material"":[""original idea""],""Time Era"":[""1930-1938""],""Genres"":[""comedy"",""musical""],""Geography"":[""New York City"",""Kansas City""],""Scopes and Scales"":[""normal""],""Disciplines & Industries"":[""radio""],""Term Status"":[],""Setting Types"":[""urban""],""Story Elements"":[""deception"",""social status"",""workplace issue""],""Agents"":[""cousin"",""singer"",""brother"",""boss/executive"",""broadcaster"",""actor"",""reporter"",""assistant"",""talent agent""]}"
Cane E Gatto,"{""Time Era"":[""1980-1989""],""Scopes and Scales"":[""normal""],""Age Groups"":[""adult (19-59)""],""Setting Types"":[""urban""],""Gender"":[""male""],""Subjects"":[""true crime""],""Disciplines & Industries"":[""organized crime"",""public safety""],""Genres"":[""comedy"",""crime""],""Agents"":[""chief of police"",""thief"",""gang"",""criminal""],""Moods"":[""funny"",""confrontational""]}"
Prinzessin Lillifee,"{""Source Material"":[""adaptation""],""Age Groups"":[""indeterminate""],""Scopes and Scales"":[""normal""],""Genres"":[""animation"",""kids"",""fantasy""],""Moods"":[""gentle"",""whimsical""],""Gender"":[""female""],""Agents"":[""animal"",""bear"",""mouse"",""insect"",""fairy"",""pig"",""princess"",""rabbit"",""frog""],""Story Elements"":[""friendship""],""Setting Types"":[""rural"",""kingdom""]}"
October Baby,"{""Source Material"":[""as suggested by""],""Genres"":[""drama""],""Gender"":[""female""],""Time Era"":[""contemporary (2000-)""],""Story Elements"":[""friends-to-lovers"",""abandoned child"",""search for meaning"",""maturation""],""Setting Types"":[""urban"",""beach"",""suburban""],""Age Groups"":[""young adult (19-25)""],""Geography"":[""Mobile"",""Alabama""],""Agents"":[""daughter"",""doctor"",""lover"",""student"",""parent"",""mother""],""Scopes and Scales"":[""normal""]}"
Friend-A-Rooney,"{""Scopes and Scales"":[""normal""],""Time Era"":[""contemporary (2000-)""],""Disciplines & Industries"":[""theater"",""sports""],""Setting Types"":[""high school"",""suburban""],""Agents"":[""actor"",""sister"",""lover"",""basketball player"",""sibling"",""family""],""Subjects"":[""arts and entertainment"",""family""],""Age Groups"":[""teen (14-18)""],""Gender"":[""female""]}"
Donald's Hiccups,"{""Creative Elements"":[""educational""],""Time Era"":[""contemporary (2000-)""],""Gender"":[""male"",""female""],""Agents"":[""team"",""dog"",""mouse"",""teacher"",""bird""],""Portrayals of Character"":[""Pluto (none)"",""Mickey Mouse (Allwine, Wayne)"",""Clarabelle Cow (Winchell, April)""],""Inactive Agents"":[""animal""],""Age Groups"":[""indeterminate""],""Scopes and Scales"":[""normal""],""Setting Types"":[""rural""]}"
Road Diary: Bruce Springsteen and The E Street Band,"{""Time Era"":[""2020-2029""],""Term Status"":[],""Gender"":[""male""],""Agents"":[""musician"",""celebrity"",""singer"",""musical ensemble""],""Moods"":[""intimate"",""uplifting""],""Genres"":[""documentary"",""music""],""Source Material"":[""real life""],""Subjects"":[""performing arts"",""music""],""Age Groups"":[""70s""],""Disciplines & Industries"":[""music"",""performing arts""],""Story Elements"":[""creative process""]}"
Alex's Choice,"{""Setting Types"":[""high school"",""urban""],""Gender"":[""male"",""female""],""Age Groups"":[""tween (11-13)"",""adult (19-59)"",""teen (14-18)""],""Agents"":[""student"",""contestant"",""parent"",""sibling"",""family""],""Time Era"":[""contemporary (2000-)""],""Subjects"":[""cultural intersections"",""family""],""Inactive Agents"":[""magician""],""Scopes and Scales"":[""normal""]}"
Kopps,"{""Time Era"":[""contemporary (2000-)""],""Subjects"":[""true crime""],""Source Material"":[""original idea""],""Moods"":[""outrageous"",""funny""],""Story Elements"":[""workplace issue"",""new love"",""deception""],""Gender"":[""male""],""Agents"":[""police"",""lover"",""chief of police"",""bureaucrat""],""Setting Types"":[""town""],""Age Groups"":[""adult (19-59)""],""Geography"":[""Sweden""],""Genres"":[""comedy"",""action-adventure"",""police/cop""],""Scopes and Scales"":[""normal""],""Disciplines & Industries"":[""public safety""]}"
Stuck in the Beast-Day Party,"{""Time Era"":[""contemporary (2000-)""],""Age Groups"":[""tween (11-13)"",""teen (14-18)""],""Gender"":[""female""],""Agents"":[""daughter"",""parent"",""inventor"",""brother"",""family"",""sibling""],""Scopes and Scales"":[""normal""],""Subjects"":[""family""],""Setting Types"":[""suburban""]}"
Expedition Everest,"{""Source Material"":[""real life""],""Setting Types"":[""wilderness""],""Age Groups"":[""adult (19-59)""],""Gender"":[""male""],""Scopes and Scales"":[""normal""],""Moods"":[""wondrous"",""matter-of-fact""],""Agents"":[""mountaineer"",""explorer"",""scientist""],""Disciplines & Industries"":[""medical research, science and technology""],""Subjects"":[""environment"",""technology"",""science""],""Time Era"":[""contemporary (2000-)""],""Genres"":[""documentary"",""animals & nature""]}"
Masjavlar,"{""Time Era"":[""contemporary (2000-)""],""Agents"":[""neighbor"",""son"",""grandparent"",""sister"",""family"",""father"",""daughter"",""mother""],""Source Material"":[""adaptation""],""Subjects"":[""family""],""Holidays & Seasons"":[""winter""],""Geography"":[""Sweden""],""Scopes and Scales"":[""normal""],""Story Elements"":[""returning home"",""social status"",""sibling rivalry"",""familial relationship""],""Moods"":[""dramatic"",""funny""],""Setting Types"":[""town"",""rural""],""Genres"":[""comedy"",""drama""],""Gender"":[""female""],""Age Groups"":[""adult (19-59)""]}"
"Making of Loki, The","{""Disciplines & Industries"":[""film and television""],""Moods"":[""matter-of-fact"",""wondrous""],""Subjects"":[""arts and entertainment""],""Genres"":[""documentary""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""executive producer"",""costume designer"",""producer"",""director"",""writer"",""film crew"",""actor""],""Scopes and Scales"":[""normal""],""Source Material"":[""work about another work"",""real life""],""Term Status"":[]}"
"Love, Gilda","{""Moods"":[""intimate"",""sad"",""funny""],""Subjects"":[""arts and entertainment""],""Gender"":[""cis female""],""Disciplines & Industries"":[""live comedy"",""film and television""],""Time Era"":[""1980-1989"",""2010-2019"",""1970-1979""],""Source Material"":[""real life""],""Age Groups"":[""adult (19-59)""],""Agents"":[""actor"",""comedian"",""executive producer"",""spouse"",""celebrity""],""Genres"":[""biographical"",""documentary""],""Story Elements"":[""creative process""],""Term Status"":[]}"
Pahanhautoja,"{""Genres"":[""horror""],""Disciplines & Industries"":[""gymnastics""],""Agents"":[""monster"",""bird"",""spouse"",""social media star"",""coach"",""daughter"",""father"",""acrobat"",""mother"",""lover"",""athlete"",""neighbor""],""Term Status"":[],""Story Elements"":[""competition"",""parent-child relationship"",""horrifying situation"",""infidelity"",""identity""],""Setting Types"":[""suburban""],""Time Era"":[""2020-2029""],""Gender"":[""female""],""Geography"":[""Finland""],""Moods"":[""dark"",""frightening"",""suspenseful""],""Age Groups"":[""tween (11-13)""],""Source Material"":[""original idea""]}"
Knight and Day,"{""Age Groups"":[""adult (19-59)""],""Setting Types"":[""rural"",""island"",""urban""],""Source Material"":[""original idea""],""Story Elements"":[""secret identity"",""showdown"",""holy grail"",""fish-out-of-water"",""betrayal""],""Scopes and Scales"":[""grand""],""Agents"":[""inventor"",""spy"",""fire fighter"",""lover"",""sister"",""criminal"",""assassin""],""Time Era"":[""contemporary (2000-)""],""Geography"":[""Spain"",""District of Columbia"",""Boston"",""Austria"",""Brooklyn""],""Disciplines & Industries"":[""public safety""],""Moods"":[""wild"",""suspenseful"",""funny""],""Genres"":[""spy/espionage"",""action-adventure"",""comedy""],""Gender"":[""female"",""male""]}"
