id,title,genres,overview,cast,director,runtime,language,rating
100,City Hall,Drama|Thriller,"A Drama, Thriller movie titled City Hall.",,,,,
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,"A Adventure, Comedy, Crime, Romance movie titled Bottle Rocket.",,,,,
102,Mr. Wrong,Comedy,A Comedy movie titled Mr. Wrong.,,,,,
103,Unforgettable,Mystery|Sci-Fi|Thriller,"A Mystery, Sci-Fi, Thriller movie titled Unforgettable.",,,,,
104,Happy Gilmore,Comedy,A Comedy movie titled Happy Gilmore.,,,,,
105,"Bridges of Madison County, The",Drama|Romance,"A Drama, Romance movie titled Bridges of Madison County, The.",,,,,
106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,"A Comedy, Drama movie titled Nobody Loves Me (Keiner liebt mich).",,,,,
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,"A Adventure, Children, Comedy, Musical movie titled Muppet Treasure Island.",,,,,
108,Catwalk,Documentary,A Documentary movie titled Catwalk.,,,,,
110,Braveheart,Action|Drama|War,"A Action, Drama, War movie titled Braveheart.",,,,,
111,Taxi Driver,Crime|Drama|Thriller,"A Crime, Drama, Thriller movie titled Taxi Driver.",,,,,
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,"A Action, Adventure, Comedy, Crime movie titled Rumble in the Bronx (Hont faan kui).",,,,,
113,Before and After,Drama|Mystery,"A Drama, Mystery movie titled Before and After.",,,,,
116,Anne Frank Remembered,Documentary,A Documentary movie titled Anne Frank Remembered.,,,,,
117,"Young Poisoner's Handbook, The",Crime|Drama,"A Crime, Drama movie titled Young Poisoner's Handbook, The.",,,,,
118,If Lucy Fell,Comedy|Romance,"A Comedy, Romance movie titled If Lucy Fell.",,,,,
119,"Steal Big, Steal Little",Comedy,"A Comedy movie titled Steal Big, Steal Little.",,,,,
121,"Boys of St. Vincent, The",Drama,"A Drama movie titled Boys of St. Vincent, The.",,,,,
122,Boomerang,Comedy|Romance,"A Comedy, Romance movie titled Boomerang.",,,,,
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,"A Drama, Mystery, Romance movie titled Chungking Express (Chung Hing sam lam).",,,,,
125,Flirting With Disaster,Comedy,A Comedy movie titled Flirting With Disaster.,,,,,
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,"A Adventure, Children, Fantasy movie titled NeverEnding Story III, The.",,,,,
128,Jupiter's Wife,Documentary,A Documentary movie titled Jupiter's Wife.,,,,,
129,Pie in the Sky,Comedy|Romance,"A Comedy, Romance movie titled Pie in the Sky.",,,,,
132,Jade,Thriller,A Thriller movie titled Jade.,,,,,
135,Down Periscope,Comedy,A Comedy movie titled Down Periscope.,,,,,
137,Man of the Year,Documentary,A Documentary movie titled Man of the Year.,,,,,
140,Up Close and Personal,Drama|Romance,"A Drama, Romance movie titled Up Close and Personal.",,,,,
141,"Birdcage, The",Comedy,"A Comedy movie titled Birdcage, The.",,,,,
144,"Brothers McMullen, The",Comedy,"A Comedy movie titled Brothers McMullen, The.",,,,,
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,"A Action, Comedy, Crime, Drama, Thriller movie titled Bad Boys.",,,,,
146,"Amazing Panda Adventure, The",Adventure|Children,"A Adventure, Children movie titled Amazing Panda Adventure, The.",,,,,
147,"Basketball Diaries, The",Drama,"A Drama movie titled Basketball Diaries, The.",,,,,
148,"Awfully Big Adventure, An",Drama,"A Drama movie titled Awfully Big Adventure, An.",,,,,
149,Amateur,Crime|Drama|Thriller,"A Crime, Drama, Thriller movie titled Amateur.",,,,,
150,Apollo 13,Adventure|Drama|IMAX,"A Adventure, Drama, IMAX movie titled Apollo 13.",,,,,
151,Rob Roy,Action|Drama|Romance|War,"A Action, Drama, Romance, War movie titled Rob Roy.",,,,,
152,"Addiction, The",Drama|Horror,"A Drama, Horror movie titled Addiction, The.",,,,,
153,Batman Forever,Action|Adventure|Comedy|Crime,"A Action, Adventure, Comedy, Crime movie titled Batman Forever.",,,,,
154,Beauty of the Day (Belle de jour),Drama,A Drama movie titled Beauty of the Day (Belle de jour).,,,,,
155,Beyond Rangoon,Adventure|Drama|War,"A Adventure, Drama, War movie titled Beyond Rangoon.",,,,,
156,Blue in the Face,Comedy|Drama,"A Comedy, Drama movie titled Blue in the Face.",,,,,
157,Canadian Bacon,Comedy|War,"A Comedy, War movie titled Canadian Bacon.",,,,,
158,Casper,Adventure|Children,"A Adventure, Children movie titled Casper.",,,,,
159,Clockers,Crime|Drama|Mystery,"A Crime, Drama, Mystery movie titled Clockers.",,,,,
160,Congo,Action|Adventure|Mystery|Sci-Fi,"A Action, Adventure, Mystery, Sci-Fi movie titled Congo.",,,,,
161,Crimson Tide,Drama|Thriller|War,"A Drama, Thriller, War movie titled Crimson Tide.",,,,,
162,Crumb,Documentary,A Documentary movie titled Crumb.,,,,,
163,Desperado,Action|Romance|Western,"A Action, Romance, Western movie titled Desperado.",,,,,
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,"A Crime, Film-Noir, Mystery, Thriller movie titled Devil in a Blue Dress.",,,,,
165,Die Hard: With a Vengeance,Action|Crime|Thriller,"A Action, Crime, Thriller movie titled Die Hard: With a Vengeance.",,,,,
166,"Doom Generation, The",Comedy|Crime|Drama,"A Comedy, Crime, Drama movie titled Doom Generation, The.",,,,,
168,First Knight,Action|Drama|Romance,"A Action, Drama, Romance movie titled First Knight.",,,,,
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,"A Adventure, Children, Drama movie titled Free Willy 2: The Adventure Home.",,,,,
170,Hackers,Action|Adventure|Crime|Thriller,"A Action, Adventure, Crime, Thriller movie titled Hackers.",,,,,
171,Jeffrey,Comedy|Drama,"A Comedy, Drama movie titled Jeffrey.",,,,,
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,"A Action, Sci-Fi, Thriller movie titled Johnny Mnemonic.",,,,,
173,Judge Dredd,Action|Crime|Sci-Fi,"A Action, Crime, Sci-Fi movie titled Judge Dredd.",,,,,
174,Jury Duty,Comedy,A Comedy movie titled Jury Duty.,,,,,
175,Kids,Drama,A Drama movie titled Kids.,,,,,
176,Living in Oblivion,Comedy,A Comedy movie titled Living in Oblivion.,,,,,
177,Lord of Illusions,Horror,A Horror movie titled Lord of Illusions.,,,,,
178,Love & Human Remains,Comedy|Drama,"A Comedy, Drama movie titled Love & Human Remains.",,,,,
179,Mad Love,Drama|Romance,"A Drama, Romance movie titled Mad Love.",,,,,
180,Mallrats,Comedy|Romance,"A Comedy, Romance movie titled Mallrats.",,,,,
181,Mighty Morphin Power Rangers: The Movie,Action|Children,"A Action, Children movie titled Mighty Morphin Power Rangers: The Movie.",,,,,
183,Mute Witness,Comedy|Horror|Thriller,"A Comedy, Horror, Thriller movie titled Mute Witness.",,,,,
184,Nadja,Drama,A Drama movie titled Nadja.,,,,,
185,"Net, The",Action|Crime|Thriller,"A Action, Crime, Thriller movie titled Net, The.",,,,,
186,Nine Months,Comedy|Romance,"A Comedy, Romance movie titled Nine Months.",,,,,
187,Party Girl,Comedy,A Comedy movie titled Party Girl.,,,,,
188,"Prophecy, The",Fantasy|Horror|Mystery,"A Fantasy, Horror, Mystery movie titled Prophecy, The.",,,,,
189,Reckless,Comedy|Fantasy,"A Comedy, Fantasy movie titled Reckless.",,,,,
190,Safe,Thriller,A Thriller movie titled Safe.,,,,,
191,"Scarlet Letter, The",Drama|Romance,"A Drama, Romance movie titled Scarlet Letter, The.",,,,,
193,Showgirls,Drama,A Drama movie titled Showgirls.,,,,,
194,Smoke,Comedy|Drama,"A Comedy, Drama movie titled Smoke.",,,,,
195,Something to Talk About,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Something to Talk About.",,,,,
196,Species,Horror|Sci-Fi,"A Horror, Sci-Fi movie titled Species.",,,,,
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,"A Action, Crime, Drama, Mystery, Sci-Fi, Thriller movie titled Strange Days.",,,,,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,"A Drama, Musical, Romance movie titled Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les).",,,,,
201,Three Wishes,Drama|Fantasy,"A Drama, Fantasy movie titled Three Wishes.",,,,,
202,Total Eclipse,Drama|Romance,"A Drama, Romance movie titled Total Eclipse.",,,,,
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,"A Comedy movie titled To Wong Foo, Thanks for Everything! Julie Newmar.",,,,,
204,Under Siege 2: Dark Territory,Action,A Action movie titled Under Siege 2: Dark Territory.,,,,,
205,Unstrung Heroes,Comedy|Drama,"A Comedy, Drama movie titled Unstrung Heroes.",,,,,
206,Unzipped,Documentary,A Documentary movie titled Unzipped.,,,,,
207,"Walk in the Clouds, A",Drama|Romance,"A Drama, Romance movie titled Walk in the Clouds, A.",,,,,
208,Waterworld,Action|Adventure|Sci-Fi,"A Action, Adventure, Sci-Fi movie titled Waterworld.",,,,,
209,White Man's Burden,Drama,A Drama movie titled White Man's Burden.,,,,,
210,Wild Bill,Western,A Western movie titled Wild Bill.,,,,,
211,"Browning Version, The",Drama,"A Drama movie titled Browning Version, The.",,,,,
212,Bushwhacked,Adventure|Comedy|Crime|Mystery,"A Adventure, Comedy, Crime, Mystery movie titled Bushwhacked.",,,,,
213,Burnt by the Sun (Utomlyonnye solntsem),Drama,A Drama movie titled Burnt by the Sun (Utomlyonnye solntsem).,,,,,
214,Before the Rain (Pred dozhdot),Drama|War,"A Drama, War movie titled Before the Rain (Pred dozhdot).",,,,,
215,Before Sunrise,Drama|Romance,"A Drama, Romance movie titled Before Sunrise.",,,,,
216,Billy Madison,Comedy,A Comedy movie titled Billy Madison.,,,,,
217,"Babysitter, The",Drama|Thriller,"A Drama, Thriller movie titled Babysitter, The.",,,,,
218,Boys on the Side,Comedy|Drama,"A Comedy, Drama movie titled Boys on the Side.",,,,,
219,"Cure, The",Drama,"A Drama movie titled Cure, The.",,,,,
220,Castle Freak,Horror,A Horror movie titled Castle Freak.,,,,,
222,Circle of Friends,Drama|Romance,"A Drama, Romance movie titled Circle of Friends.",,,,,
223,Clerks,Comedy,A Comedy movie titled Clerks.,,,,,
224,Don Juan DeMarco,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Don Juan DeMarco.",,,,,
225,Disclosure,Drama|Thriller,"A Drama, Thriller movie titled Disclosure.",,,,,
227,Drop Zone,Action|Thriller,"A Action, Thriller movie titled Drop Zone.",,,,,
228,Destiny Turns on the Radio,Comedy,A Comedy movie titled Destiny Turns on the Radio.,,,,,
229,Death and the Maiden,Drama|Thriller,"A Drama, Thriller movie titled Death and the Maiden.",,,,,
230,Dolores Claiborne,Drama|Thriller,"A Drama, Thriller movie titled Dolores Claiborne.",,,,,
231,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,"A Adventure, Comedy movie titled Dumb & Dumber (Dumb and Dumber).",,,,,
232,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Eat Drink Man Woman (Yin shi nan nu).",,,,,
233,Exotica,Drama,A Drama movie titled Exotica.,,,,,
234,Exit to Eden,Comedy,A Comedy movie titled Exit to Eden.,,,,,
235,Ed Wood,Comedy|Drama,"A Comedy, Drama movie titled Ed Wood.",,,,,
236,French Kiss,Action|Comedy|Romance,"A Action, Comedy, Romance movie titled French Kiss.",,,,,
237,Forget Paris,Comedy|Romance,"A Comedy, Romance movie titled Forget Paris.",,,,,
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children,"A Adventure, Children movie titled Far From Home: The Adventures of Yellow Dog.",,,,,
239,"Goofy Movie, A",Animation|Children|Comedy|Romance,"A Animation, Children, Comedy, Romance movie titled Goofy Movie, A.",,,,,
240,Hideaway,Thriller,A Thriller movie titled Hideaway.,,,,,
241,Fluke,Children|Drama,"A Children, Drama movie titled Fluke.",,,,,
242,Farinelli: il castrato,Drama|Musical,"A Drama, Musical movie titled Farinelli: il castrato.",,,,,
243,Gordy,Children|Comedy|Fantasy,"A Children, Comedy, Fantasy movie titled Gordy.",,,,,
246,Hoop Dreams,Documentary,A Documentary movie titled Hoop Dreams.,,,,,
247,Heavenly Creatures,Crime|Drama,"A Crime, Drama movie titled Heavenly Creatures.",,,,,
248,Houseguest,Comedy,A Comedy movie titled Houseguest.,,,,,
249,Immortal Beloved,Drama|Romance,"A Drama, Romance movie titled Immortal Beloved.",,,,,
250,Heavyweights (Heavy Weights),Children|Comedy,"A Children, Comedy movie titled Heavyweights (Heavy Weights).",,,,,
251,"Hunted, The",Action,"A Action movie titled Hunted, The.",,,,,
252,I.Q.,Comedy|Romance,"A Comedy, Romance movie titled I.Q..",,,,,
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,"A Drama, Horror movie titled Interview with the Vampire: The Vampire Chronicles.",,,,,
254,Jefferson in Paris,Drama,A Drama movie titled Jefferson in Paris.,,,,,
255,"Jerky Boys, The",Comedy,"A Comedy movie titled Jerky Boys, The.",,,,,
256,Junior,Comedy|Sci-Fi,"A Comedy, Sci-Fi movie titled Junior.",,,,,
257,Just Cause,Mystery|Thriller,"A Mystery, Thriller movie titled Just Cause.",,,,,
258,"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,"A Adventure, Children, Comedy, Fantasy, Romance movie titled Kid in King Arthur's Court, A.",,,,,
259,Kiss of Death,Crime|Drama|Thriller,"A Crime, Drama, Thriller movie titled Kiss of Death.",,,,,
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,"A Action, Adventure, Sci-Fi movie titled Star Wars: Episode IV - A New Hope.",,,,,
261,Little Women,Drama,A Drama movie titled Little Women.,,,,,
262,"Little Princess, A",Children|Drama,"A Children, Drama movie titled Little Princess, A.",,,,,
263,Ladybird Ladybird,Drama,A Drama movie titled Ladybird Ladybird.,,,,,
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,"A Drama, Fantasy, Romance movie titled Like Water for Chocolate (Como agua para chocolate).",,,,,
266,Legends of the Fall,Drama|Romance|War|Western,"A Drama, Romance, War, Western movie titled Legends of the Fall.",,,,,
267,Major Payne,Comedy,A Comedy movie titled Major Payne.,,,,,
269,My Crazy Life (Mi vida loca),Drama,A Drama movie titled My Crazy Life (Mi vida loca).,,,,,
270,Love Affair,Drama|Romance,"A Drama, Romance movie titled Love Affair.",,,,,
271,Losing Isaiah,Drama,A Drama movie titled Losing Isaiah.,,,,,
272,"Madness of King George, The",Comedy|Drama,"A Comedy, Drama movie titled Madness of King George, The.",,,,,
273,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,"A Drama, Horror, Sci-Fi movie titled Mary Shelley's Frankenstein (Frankenstein).",,,,,
274,Man of the House,Comedy,A Comedy movie titled Man of the House.,,,,,
275,Mixed Nuts,Comedy,A Comedy movie titled Mixed Nuts.,,,,,
276,Milk Money,Comedy|Romance,"A Comedy, Romance movie titled Milk Money.",,,,,
277,Miracle on 34th Street,Drama,A Drama movie titled Miracle on 34th Street.,,,,,
278,Miami Rhapsody,Comedy,A Comedy movie titled Miami Rhapsody.,,,,,
279,My Family,Drama,A Drama movie titled My Family.,,,,,
280,Murder in the First,Drama|Thriller,"A Drama, Thriller movie titled Murder in the First.",,,,,
281,Nobody's Fool,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Nobody's Fool.",,,,,
282,Nell,Drama,A Drama movie titled Nell.,,,,,
283,New Jersey Drive,Crime|Drama,"A Crime, Drama movie titled New Jersey Drive.",,,,,
284,New York Cop (Nyû Yôku no koppu),Action|Crime,"A Action, Crime movie titled New York Cop (Nyû Yôku no koppu).",,,,,
285,Beyond Bedlam,Drama|Horror,"A Drama, Horror movie titled Beyond Bedlam.",,,,,
287,Nina Takes a Lover,Comedy|Romance,"A Comedy, Romance movie titled Nina Takes a Lover.",,,,,
288,Natural Born Killers,Action|Crime|Thriller,"A Action, Crime, Thriller movie titled Natural Born Killers.",,,,,
289,Only You,Comedy|Romance,"A Comedy, Romance movie titled Only You.",,,,,
290,Once Were Warriors,Crime|Drama,"A Crime, Drama movie titled Once Were Warriors.",,,,,
291,Poison Ivy II,Drama|Thriller,"A Drama, Thriller movie titled Poison Ivy II.",,,,,
292,Outbreak,Action|Drama|Sci-Fi|Thriller,"A Action, Drama, Sci-Fi, Thriller movie titled Outbreak.",,,,,
293,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,"A Action, Crime, Drama, Thriller movie titled Léon: The Professional (a.k.a. The Professional) (Léon).",,,,,
294,"Perez Family, The",Comedy|Romance,"A Comedy, Romance movie titled Perez Family, The.",,,,,
295,"Pyromaniac's Love Story, A",Comedy|Romance,"A Comedy, Romance movie titled Pyromaniac's Love Story, A.",,,,,
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,"A Comedy, Crime, Drama, Thriller movie titled Pulp Fiction.",,,,,
298,Pushing Hands (Tui shou),Drama,A Drama movie titled Pushing Hands (Tui shou).,,,,,
299,Priest,Drama,A Drama movie titled Priest.,,,,,
300,Quiz Show,Drama,A Drama movie titled Quiz Show.,,,,,
301,Picture Bride (Bijo photo),Drama|Romance,"A Drama, Romance movie titled Picture Bride (Bijo photo).",,,,,
302,"Queen Margot (Reine Margot, La)",Drama|Romance,"A Drama, Romance movie titled Queen Margot (Reine Margot, La).",,,,,
303,"Quick and the Dead, The",Action|Thriller|Western,"A Action, Thriller, Western movie titled Quick and the Dead, The.",,,,,
304,Roommates,Comedy|Drama,"A Comedy, Drama movie titled Roommates.",,,,,
305,Ready to Wear (Pret-A-Porter),Comedy,A Comedy movie titled Ready to Wear (Pret-A-Porter).,,,,,
306,Three Colors: Red (Trois couleurs: Rouge),Drama,A Drama movie titled Three Colors: Red (Trois couleurs: Rouge).,,,,,
307,Three Colors: Blue (Trois couleurs: Bleu),Drama,A Drama movie titled Three Colors: Blue (Trois couleurs: Bleu).,,,,,
308,Three Colors: White (Trzy kolory: Bialy),Comedy|Drama,"A Comedy, Drama movie titled Three Colors: White (Trzy kolory: Bialy).",,,,,
310,Rent-a-Kid,Comedy,A Comedy movie titled Rent-a-Kid.,,,,,
311,Relative Fear,Horror|Thriller,"A Horror, Thriller movie titled Relative Fear.",,,,,
312,Stuart Saves His Family,Comedy,A Comedy movie titled Stuart Saves His Family.,,,,,
313,"Swan Princess, The",Animation|Children,"A Animation, Children movie titled Swan Princess, The.",,,,,
314,"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,"A Children, Drama, Fantasy, Mystery movie titled Secret of Roan Inish, The.",,,,,
